제작비,홍보광고비,총제작비,영화명
,,,테이큰3
,,,내일을 위한 시간
,,,언브로큰
17.0,13.0,30.0,워킹걸
,,,패딩턴
,,,타임 패러독스
,,,아메리칸 셰프
40.0,23.0,63.0,오늘의 연애
64.5,30.0,94.5,허삼관
,,,박물관이 살아있다 : 비밀의 무덤
,,,아메리칸 스나이퍼
,,,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시
73.2,25.0,98.2,강남 1970
,,,빅 히어로
,,,존 윅
,,,엑스 마키나
,,,유아 낫 유
33.0,17.0,50.0,내 심장을 쏴라
,,,워터 디바이너
,,,빅 아이즈
,,,더 이퀄라이져
,,,진격의 거인 : 홍련의 화살
,,,블랙버드
66.0,26.0,92.0,쎄시봉
,,,주피터 어센딩
,,,최강전사 미니특공대 : 새로운 악당의 습격
,,,폭스캐쳐
69.0,28.0,97.0,조선명탐정 : 사라진 놉의 딸
,,,킹스맨 : 시크릿 서비스
,,,7번째 아들
,,,도라에몽 : 스탠 바이 미
,,,오즈의 마법사 : 돌아온 도로시
,,,이미테이션게임
,,,스폰지밥 3D
,,,모데카이
,,,"웰컴, 삼바"
,,,그레이의 50가지 그림자
,,,백 투 더 비기닝
,,,기생수 파트1
,,,포커스
,,,더라스트: 나루토 더 무비
50.0,20.0,70.0,순수의 시대
13.6,7.2,20.8,헬머니
,,,버드맨
,,,세인트 빈센트
33.0,22.0,55.0,살인의뢰
,,,채피
,,,위플래쉬
2.0,5.0,7.0,소셜포비아
,,,드래곤 블레이드
,,,신데렐라
,,,런 올 나이트
,,,트레이서
,,,엘리제궁의 요리사
,,,추억의 마니
30.0,25.0,55.0,스물
,,,인서전트
,,,뷰티풀 라이
,,,분노의 질주 : 더 세븐
,,,송 원
,,,팔로우
2.0,2.5,4.5,파울볼
43.0,30.0,73.0,장수상회
28.0,11.0,39.0,화장
,,,한번 더 해피엔딩
,,,엘리노어 릭비: 그 남자 그 여자
,,,코블러
,,,더 건맨
,,,위자
,,,검은손
,,,신은 죽지 않았다
,,,어벤져스: 에이지 오브 울트론
,,,"땡큐, 대디 (The finisher's)"
,,,스틸 앨리스
19.0,12.0,31.0,위험한 상견례2
26.5,18.0,44.5,차이나타운
,,,노아의 방주: 남겨진 녀석들
,,,다이노 타임
,,,빌리와 용감한 녀석들 3
,,,아스테릭스: 신들의 전당
20.0,10.0,30.0,연애의 맛
,,,매드맥스 : 분노의 도로
,,,악의연대기
,,,트래쉬
59.0,23.0,82.0,간신-왕 위의 왕
,,,스파이
35.1,20.0,55.1,무뢰한
,,,투모로우랜드
,,,싸이코패스
,,,적도
,,,차일드44
,,,피치 퍼펙트: 언프리티 걸즈
,,,샌 안드레아스
,,,은밀한유혹
,,,호야와토리 : 드래곤 숲의 비밀
,,,혜경궁홍씨
,,,령 :저주받은 사진
,,,꼬마유령
,,,세컨찬스 
,,,엘리펀트 송
,,,쥬라기월드
28.0,18.0,46.0,경성학교 : 사라진 소녀들
,,,극비수사
,,,극장판 푸른 강철의 아르페지오-아르스 노바-DC
,,,베스트 오브 미
,,,소수의견
60.0,24.0,84.0,연평해전
,,,19곰 테드2
,,,나의 절친 악당들
,,,네이든 ( x+y)
,,,정글번치 : 너구리 해적단과 보물지도
,,,동경 표류일기
,,,라자루스
,,,리틀드래곤 코코넛
,,,마돈나
,,,모든 비밀스러운 것들
,,,"알로, 슈티"
,,,터미네이터 제니시스
,,,학교괴담 : 저주의 언령
,,,호비와 엄마나무섬의 비밀
41.0,25.0,66.0,손님
,,,우먼 인 골드
,,,인사이드 아웃
,,,인시디어스3
30.0,15.0,45.0,쓰리썸머나잇
,,,다크플레이스
,,,픽셀
,,,극장판 요괴워치:탄생의 비밀이다냥!
,,,암살
,,,미니언즈
,,,미션임파서블:로그네이션
58.8,27.2,86.0,베테랑
30.0,20.0,50.0,미쓰와이프
92.0,27.0,119.0,"협녀,칼의 기억"
44.0,20.0,64.0,뷰티인사이드
23.0,13.0,36.0,퇴마:무녀굴
,,,판타스틱4
,,,아메리칸 울트라
,,,치외법권
,,,앤트맨
,,,어바웃리키
23.0,15.0,38.0,오피스
,,,피케이:별에서온 얼간이
,,,돼지같은여자
,,,셀프/리스
,,,제7기사단
,,,함정
,,,메이즈 러너 :스코치 트라이얼
,,,사도
,,,뮨:달의요정
74.0,25.0,99.0,서부전선
,,,에베레스트
,,,인턴
,,,탐정:더비기닝
0.5,0.5,1.0,지금은맞고 그떄는 틀리다
,,,마션
36.5,23.5,60.0,성난변호사
,,,팬
,,,더비지트
,,,리그레션
,,,아델라인 :멈춰진시간
,,,온리유
,,,트랜스포터:리퓰드
35.0,20.0,55.0,더 폰
,,,돌연변이
45.0,23.0,68.0,특종:량첸 살인기
29.0,18.0,47.0,그놈이다
,,,미안해 사랑해 고마워
,,,하늘을 걷는남자
47.0,23.0,70.0,검은사제들
,,,더 셰프
,,,스파이브릿지
,,,007 스펙터
,,,위아 유어 프렌즈
,,,헝거게임 : 더 파이널
,,,내부자들
65.0,25.0,90.0,도리화가
,,,괴물의 아이
38.0,20.0,58.0,열정같은 소리하고 있네
,,,크림슨 피크
19.0,18.0,37.0,극적인 하룻밤
,,,스윗프랑세즈
,,,멕베스
,,,시카리오:암살자의 도시
,,,하트 오브 더 씨
,,,나를 미치게 하는 여자
,,,레전드
,,,리틀보이
,,,타이밍
,,,타투
,,,파더 앤 도터
143.0,30.0,173.0,대호
,,,히말라야
,,,스타워즈:깨어난 포스
